trucks_count 10
drones_count 10
customers 500
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
X	Y	Dronable	Demand	Drone_service	Truck_service	Lw
-12832.389237888	128.95673472	1.0	2.017867	60	60	3000.0
-15342.764709888	8929.38885696	1.0	0.399905	60	60	5300.0
-13776.755515776002	-11964.463581312	1.0	1.905706	60	60	4000.0
3576.7428998399996	-5140.487746944001	1.0	25.687509	60	60	1900.0
-10558.233278208	7925.105092608001	1.0	1.135722	60	60	3400.0
13254.505684992	-6332.268134016001	1.0	0.913095	60	60	3900.0
10998.907070976	966.150358272	1.0	2.181335	60	60	2800.0
-23.792541696	6251.7784032	1.0	58.378708	60	60	2000.0
-8617.575238272	-6049.524096	1.0	1.898109	60	60	3400.0
-13315.8731904	-8253.509438592	1.0	49.792119	60	60	4900.0
-8150.022182016	-14871.490850304002	1.0	1.396792	60	60	3700.0
-10935.95918976	446.288793984	1.0	1.08119	60	60	2500.0
-4578.572414592	-13251.790721664	1.0	0.945467	60	60	3300.0
15725.502118656	-7484.48762688	1.0	9.326444	60	60	3600.0
11625.791620608	5590.674372096	1.0	13.188075	60	60	3100.0
7619.876909568001	-8567.518202496001	1.0	0.435389	60	60	2800.0
606.840170112	-14613.644973312	1.0	0.948857	60	60	4500.0
2240.227769472	7011.2664610560005	1.0	0.836147	60	60	1400.0
-6595.531062912	3215.086288128	1.0	1.139504	60	60	1700.0
-14057.767899648	5111.77544064	1.0	0.445042	60	60	3200.0
1673.49245184	5850.173045376	1.0	0.98542	60	60	1700.0
-7629.106497408	-13620.676506624	1.0	1.926	60	60	3200.0
9390.126341376	664.914957696	1.0	1.550854	60	60	2100.0
14019.927394176	-6061.06309248	1.0	0.553825	60	60	4900.0
12024.089776512	4404.447831168	1.0	9.631816	60	60	2700.0
-10772.354888064	8078.541558912	1.0	2.249698	60	60	3600.0
-11051.559978624	3473.746493184	1.0	0.862872	60	60	2800.0
4304.261339136	-9711.378762624	1.0	1.217235	60	60	2700.0
11111.113753344	13198.754790144	1.0	1.102181	60	60	3400.0
5748.454457856001	11600.32857984	1.0	31.892979	60	60	3600.0
-801.057413376	-14063.889844224	1.0	1.969264	60	60	2900.0
2611.060860672	4664.640131712	1.0	1.531195	60	60	1700.0
-14890.727339136	-14882.131832832	1.0	0.305926	60	60	6200.0
4280.488109568	3106.426599936	1.0	0.65846	60	60	1600.0
-11889.35871552	-4387.718700288	1.0	1.647849	60	60	3500.0
-5881.611580416	5712.273186048	1.0	28.26182	60	60	1600.0
14420.573582976	-13591.742110848	1.0	1.324313	60	60	4000.0
15747.791533056	-7657.810756992	1.0	0.824554	60	60	5200.0
-15986.648760192	1979.687850624	1.0	2.112605	60	60	3600.0
-3672.99776448	-14290.672163328	1.0	2.089204	60	60	3400.0
-11673.40889088	2992.6459791360003	1.0	1.550795	60	60	3700.0
-11940.71288256	-8029.870168320001	1.0	1.23397	60	60	3300.0
-11866.583279232002	-5306.496408576	1.0	1.43067	60	60	2700.0
-2209.199617152	-12684.139687296	1.0	0.354762	60	60	3300.0
2103.5671050240003	3486.6663068159996	1.0	56.89008	60	60	1200.0
1911.918374784	6493.696602624	1.0	1.21732	60	60	1900.0
11591.739510912	9504.542653056	1.0	1.398423	60	60	4200.0
4192.545506688	5969.921113728	1.0	53.59164	60	60	1500.0
188.557180416	10996.38201024	1.0	0.516739	60	60	2400.0
6106.168176768	5572.6674220800005	1.0	1.77652	60	60	2000.0
13213.705595904	5498.4444768	1.0	0.690733	60	60	2800.0
605.325777408	8147.838302208001	1.0	1.876273	60	60	2400.0
2822.876280576	-11360.100191616	1.0	0.231117	60	60	2300.0
-9411.302089728	-4753.483967232	1.0	1.759684	60	60	3200.0
-411.555931776	967.550487552	1.0	1.097511	60	60	1200.0
-5726.428975872	-15901.992437760002	1.0	18.792864	60	60	3700.0
-6798.7139616	-7538.133499776	1.0	1.148206	60	60	2400.0
-9964.295218944	14269.881048192	1.0	0.918322	60	60	4000.0
-4257.8816544	-12002.643658368	1.0	52.21808	60	60	3400.0
-5656.197203712	5251.90906944	1.0	1.783565	60	60	1800.0
-1097.142913152	1102.720899456	1.0	1.55822	60	60	1200.0
9031.216879872	-7181.306529408001	1.0	0.658119	60	60	3600.0
-7537.552526592	1031.294994048	1.0	1.766917	60	60	2300.0
2279.3493127680003	-10510.694865792	1.0	0.726962	60	60	3000.0
9959.53799808	-12568.661208576	1.0	0.683674	60	60	3700.0
2514.241116288	2585.807034624	1.0	1.361378	60	60	1200.0
15721.62520896	-3527.1863700480003	1.0	46.402426	60	60	3800.0
-6537.486852864	-6245.556679296001	1.0	1.845034	60	60	2700.0
10160.78646528	-7836.661983743999	1.0	1.856058	60	60	3700.0
-245.444272128	-8516.719259136	1.0	0.535798	60	60	1700.0
-15442.059625344	14319.286299648	1.0	1.646046	60	60	5800.0
-1654.519895424	6874.5736097280005	1.0	1.06802	60	60	2100.0
-13222.849888512	8199.47088576	1.0	2.605421	60	60	3900.0
-12762.366680448	6726.048861312001	1.0	2.254227	60	60	3300.0
13406.144514048	-6347.167440768	1.0	59.275853	60	60	4300.0
-5134.101869952001	2594.508757632	1.0	57.852366	60	60	1500.0
-6574.662699264	5176.894326912	1.0	2.0367	60	60	1700.0
-4701.082117248	13840.876608768	1.0	27.521934	60	60	3500.0
-13966.009542144002	1974.980519424	1.0	1.171364	60	60	3800.0
5605.575288192001	-7538.065907328	1.0	1.107461	60	60	2700.0
443.472441984	3793.133684736	1.0	20.954153	60	60	1200.0
13372.147122048002	-13441.010951808	1.0	2.15411	60	60	5900.0
7425.72243072	12096.302651136	1.0	1.635421	60	60	3500.0
-11513.66540544	15477.227010432	1.0	1.310627	60	60	5000.0
-2334.939273216	-9601.629548544	1.0	0.222308	60	60	3200.0
724.0309908480001	7341.870780288	1.0	1.576416	60	60	2100.0
14578.551618048	10780.995456	1.0	1.850998	60	60	4500.0
-1261.650056832	2169.897827328	1.0	1.793959	60	60	1200.0
-11784.8640096	-3707.13195072	1.0	47.319142	60	60	3500.0
-3274.746279552	-2750.753529216	1.0	2.178899	60	60	1200.0
5041.751273856	-6524.275747968	1.0	10.939365	60	60	2400.0
-3215.160317952	-6463.038599424	1.0	1.922004	60	60	1700.0
-5946.7385134080005	-3567.2606449920004	1.0	0.640171	60	60	1800.0
-5732.518733568	4883.332278528	1.0	9.830077	60	60	2000.0
11577.364850304	13642.982014464002	1.0	0.949552	60	60	4200.0
14096.120176512	1896.502468608	1.0	23.850672	60	60	3300.0
-3972.29551488	1929.1206528	1.0	0.242468	60	60	1200.0
-7179.838807679999	703.7806152960001	1.0	1.906758	60	60	1900.0
16073.701395840002	-15462.4162176	1.0	0.617509	60	60	5900.0
-13965.18716736	6298.82757504	1.0	1.274899	60	60	3400.0
-11582.398878336	-6942.045356928001	1.0	2.005944	60	60	2700.0
2222.3157707520004	-5420.701896192	1.0	0.264568	60	60	1600.0
-13972.133096064	-11179.528576128	1.0	1.050524	60	60	5100.0
545.339089152	-1193.985188352	1.0	0.452105	60	60	1200.0
-15120.43866432	-1924.331245056	1.0	8.721032	60	60	3000.0
-9531.95943744	-513.9214755840001	1.0	2.080952	60	60	2300.0
-9128.031796224	-734.93107776	1.0	0.367003	60	60	2200.0
4046.310854784	4575.199229568	1.0	1.987754	60	60	1800.0
-12869.487835776	14404.118040576	1.0	37.505653	60	60	5100.0
-12134.04337728	-4407.814578816	1.0	0.758512	60	60	2900.0
-13595.948936064	-15382.11799872	1.0	55.045049	60	60	6400.0
15841.878611327998	15479.26604928	1.0	0.580573	60	60	5900.0
3841.47998784	15588.384400512	1.0	0.590222	60	60	4300.0
693.72382464	-9310.837181184	1.0	1.702835	60	60	1900.0
2417.5887436800003	14356.753437312002	1.0	0.77821	60	60	2900.0
11053.0550592	6893.522025984	1.0	0.736398	60	60	4100.0
5773.394461824	13534.513838208	1.0	34.74189	60	60	4300.0
3259.9821576960003	-9856.776555648	1.0	1.058614	60	60	2200.0
14410.005020928002	-9423.41723136	1.0	1.084786	60	60	5200.0
3947.683817088001	8989.17598656	1.0	2.105576	60	60	3000.0
-9664.865502336	1708.593853824	1.0	58.019113	60	60	2100.0
-7938.353212416	-83.499204096	1.0	2.225143	60	60	1900.0
6486.560771328	-5664.684883968	1.0	1.089014	60	60	2100.0
9905.116421376	8179.278446591999	1.0	0.997135	60	60	3100.0
9276.91060032	15725.27037312	1.0	0.357449	60	60	4100.0
13743.776838528	-5684.81455872	1.0	2.214759	60	60	4500.0
4188.4481168639995	5832.888690816	1.0	1.259842	60	60	2200.0
-5457.882570624	-11067.49087488	1.0	2.083056	60	60	3900.0
5541.813078912	12945.896270208	1.0	1.439876	60	60	4100.0
10693.723949568	4738.586269824001	1.0	1.999901	60	60	3600.0
-13171.106260224	12150.914130432	1.0	1.188749	60	60	5200.0
-7029.329738111999	8680.875565824	1.0	14.47957	60	60	3100.0
1550.654443008	12214.319065344	1.0	0.425261	60	60	2600.0
-10794.890532096	8639.962822656	1.0	58.320278	60	60	3400.0
11427.346630656	-14616.361545984	1.0	0.28983	60	60	5900.0
